date, pm25, pm10, o3, no2, so2, co
2022/2/1, 68, 31, 9, 4, , 
2022/2/2, 58, 35, 10, 6, , 
2022/2/3, 66, 37, 15, 11, , 
2022/2/4, 73, 48, 17, 15, 1, 
2022/2/5, 94, 54, 21, 13, 1, 
2022/2/6, 112, 62, 27, 18, 1, 
2022/2/7, 146, 62, 19, 23, 1, 
2022/2/8, 144, 39, 20, 7, , 
2022/2/9, 88, 37, 18, 8, , 
2022/2/10, 77, 37, 17, 6, , 
2022/2/11, 69, 43, 14, 10, 1, 
2022/2/12, 80, 45, 11, 6, , 
2022/2/13, 95, 34, 6, 5, , 
2022/2/14, 72, 42, 7, 11, , 
2022/2/15, 85, 61, 9, 12, , 
2022/2/16, 124, 52, 6, 10, , 
2022/2/17, 107, 34, 5, 6, , 
2022/2/18, 62, 23, 6, 4, , 
2022/2/19, 49, , , , , 
2022/1/3, 82, 51, 18, 13, , 
2022/1/4, 101, 59, 21, 21, 1, 
2022/1/5, 112, 56, 23, 23, 1, 
2022/1/6, 113, 64, 20, 21, 1, 
2022/1/7, 129, 58, 19, 20, 1, 
2022/1/8, 103, 56, 20, 19, 1, 
2022/1/9, 117, 76, 23, 22, 1, 
2022/1/10, 117, 61, 21, 20, 1, 
2022/1/11, 104, 52, 19, 13, , 
2022/1/12, 99, 49, 22, 12, , 
2022/1/13, 94, 46, 21, 12, , 
2022/1/14, 85, 48, 25, 12, , 
2022/1/15, 94, 52, 23, 10, 1, 
2022/1/16, 101, 58, 20, 19, , 
2022/1/17, 120, 59, 18, 17, 1, 
2022/1/18, 110, 48, 19, 15, , 
2022/1/19, 85, 55, 25, 16, , 
2022/1/20, 102, 35, 12, 6, , 
2022/1/21, 67, 26, 7, 6, , 
2022/1/22, 57, 24, 15, 6, , 
2022/1/23, 64, 28, 15, 10, , 
2022/1/24, 74, 31, 19, 16, , 
2022/1/25, 82, 32, 14, 7, , 
2022/1/26, 81, 37, 12, 11, , 
2022/1/27, 87, 46, 11, 7, , 
2022/1/28, 83, 41, 16, 7, , 
2022/1/29, 86, 36, 12, 5, , 
2022/1/30, 78, 36, 9, 3, , 
2022/1/31, 76, 35, 10, 3, , 
2021/10/1, 58, 24, 11, 6, 1, 
2021/10/2, 57, 36, 18, 7, 1, 
2021/10/3, 72, 33, 17, 10, 1, 
2021/10/4, 73, 43, 19, 11, 2, 
2021/10/5, 83, 26, 14, 7, , 
2021/10/6, 64, 34, 11, 10, 1, 
2021/10/7, 69, 51, 20, 12, 1, 
2021/10/8, 100, 25, 5, 5, , 
2021/10/9, 54, 22, 12, 3, , 
2021/10/10, 48, 22, 8, 4, , 
2021/10/11, 43, 21, 7, 4, , 
2021/10/12, 47, 19, 13, 2, , 
2021/10/13, 39, 23, 8, 5, , 
2021/10/14, 49, 25, 5, 7, , 
2021/10/15, 57, 31, 6, 4, , 
2021/10/16, 57, 17, 6, 6, , 
2021/10/17, 38, 23, 8, 9, , 
2021/10/18, 48, 38, 9, 11, 1, 
2021/10/19, 72, 45, 20, 11, , 
2021/10/20, 87, 50, 21, 13, 1, 
2021/10/21, 97, 37, 15, 11, 1, 
2021/10/22, 75, 29, 9, 5, , 
2021/10/23, 58, 28, 17, 5, , 
2021/10/24, 56, 30, 20, 6, , 
2021/10/25, 64, 40, 26, 6, , 
2021/10/26, 80, 46, 25, 8, 1, 
2021/10/27, 86, 50, 10, 9, 1, 
2021/10/28, 92, 35, 17, 8, , 
2021/10/29, 76, 45, 13, 10, , 
2021/10/30, 90, 28, 9, 7, , 
2021/10/31, 61, 31, 11, 6, , 
2021/11/1, 62, 36, 8, 7, , 
2021/11/2, 69, 35, 11, 7, , 
2021/11/3, 66, 39, 13, 7, , 
2021/11/4, 67, 34, 13, 9, , 
2021/11/5, 71, 43, 12, 10, , 
2021/11/6, 81, 31, 13, 7, , 
2021/11/7, 72, 39, 7, 8, , 
2021/11/8, 71, 35, 11, 7, , 
2021/11/9, 61, 39, 18, 8, , 
2021/11/10, 74, 52, 22, 7, , 
2021/11/11, 88, 48, 20, 9, , 
2021/11/12, 81, 45, 14, 9, , 
2021/11/13, 84, 44, 17, 6, , 
2021/11/14, 90, 45, 18, 8, 1, 
2021/11/15, 92, 33, 11, 8, , 
2021/11/16, 69, 26, 14, 7, , 
2021/11/17, 55, 30, 9, 6, , 
2021/11/18, 63, 35, 19, 9, , 
2021/11/19, 70, 39, 18, 9, , 
2021/11/20, 79, 40, 23, 11, , 
2021/11/21, 79, 41, 8, 14, , 
2021/11/22, 83, 30, 5, 7, , 
2021/11/23, 58, 32, 14, 9, , 
2021/11/24, 59, 45, 22, 12, 1, 
2021/11/25, 81, 50, 21, 12, , 
2021/11/26, 89, 43, 20, 8, , 
2021/11/27, 88, 51, 24, 7, , 
2021/11/28, 96, 44, 20, 7, , 
2021/11/29, 87, 50, 16, 9, , 
2021/11/30, 94, 54, 16, 9, , 
2021/12/1, 105, 55, 19, 8, , 
2021/12/2, 105, 56, 24, 15, , 
2021/12/3, 102, 56, 24, 12, , 
2021/12/4, 103, 59, 24, 8, , 
2021/12/5, 109, 58, 25, 11, , 
2021/12/6, 111, 64, 13, 16, , 
2021/12/7, 126, 61, 18, 14, 1, 
2021/12/8, 122, 55, 21, 14, , 
2021/12/9, 100, 54, 20, 15, , 
2021/12/10, 96, 54, 29, 15, , 
2021/12/11, 98, 47, 23, 10, , 
2021/12/12, 81, 43, 19, 6, , 
2021/12/13, 79, 65, 23, 14, 1, 
2021/12/14, 123, 63, 29, 16, 1, 
2021/12/15, 129, 62, 29, 12, , 
2021/12/16, 131, 57, 17, 12, 1, 
2021/12/17, 117, 48, 18, 6, , 
2021/12/18, 90, 43, 21, 8, , 
2021/12/19, 87, 61, 24, 12, , 
2021/12/20, 128, 75, 27, 16, 1, 
2021/12/21, 159, 79, 31, 20, 1, 
2021/12/22, 166, 74, 23, 24, 1, 
2021/12/23, 146, 65, 18, 15, , 
2021/12/24, 131, 39, 14, 8, , 
2021/12/25, 78, 37, 13, 8, , 
2021/12/26, 74, 49, 12, 17, , 
2021/12/27, 89, 35, 18, 8, , 
2021/12/28, 62, 35, 18, 7, , 
2021/12/29, 64, 35, 16, 8, , 
2021/12/30, 70, 37, 18, 8, , 
2021/12/31, 69, 34, 18, 7, , 
2022/1/1, 75, 35, 22, 6, , 
2022/1/2, 75, 40, 17, 8, , 
2021/7/1, 47, 26, 15, 10, 1, 
2021/7/2, 44, 25, 11, 5, , 
2021/7/3, 47, 19, 14, 3, , 
2021/7/4, 42, 25, 12, 3, , 
2021/7/5, 41, 39, 9, 4, , 
2021/7/6, 43, 40, 8, 4, 1, 
2021/7/7, 42, 46, 10, 4, 1, 
2021/7/8, 51, 28, 6, 7, , 
2021/7/9, 48, 20, 4, 6, , 
2021/7/10, 47, 15, 6, 4, , 
2021/7/11, 34, 17, 7, 5, 1, 
2021/7/12, 33, 25, 13, 5, , 
2021/7/13, 54, 33, 5, 8, , 
2021/7/14, 67, 24, 6, 4, , 
2021/7/15, 53, 24, 7, 5, 1, 
2021/7/16, 50, 23, 11, 4, 1, 
2021/7/17, 54, 20, 7, 2, 1, 
2021/7/18, 43, 17, 7, 3, 1, 
2021/7/19, 31, 17, 7, 3, , 
2021/7/20, 35, 18, 6, 2, 1, 
2021/7/21, 36, 30, 6, 2, , 
2021/7/22, 55, 25, 6, 4, 2, 
2021/7/23, 51, 30, 3, 4, 3, 
2021/7/24, 56, 21, 4, 3, 7, 
2021/7/25, 44, 22, 7, 4, , 
2021/7/26, 48, 21, 8, 3, 4, 
2021/7/27, 40, 22, 5, 4, 6, 
2021/7/28, 45, 23, 9, 3, 4, 
2021/7/29, 44, 26, 9, 4, 3, 
2021/7/30, 53, 30, 7, 3, 1, 
2021/7/31, 61, 24, 7, 3, 5, 
2021/8/1, 52, 23, 8, 3, 3, 
2021/8/2, 42, 20, 7, 3, 1, 
2021/8/3, 40, 25, 11, 2, 1, 
2021/8/4, 52, 29, 10, 2, 3, 
2021/8/5, 60, 24, 12, 2, , 
2021/8/6, 53, 26, 13, 2, 1, 
2021/8/7, 54, 28, 15, 1, 1, 
2021/8/8, 57, 29, 15, 1, 1, 
2021/8/9, 56, 29, 8, 2, , 
2021/8/10, 56, 21, 4, 3, 1, 
2021/8/11, 42, 18, 5, 2, , 
2021/8/12, 33, 18, 7, 4, 1, 
2021/8/13, 37, 23, 4, 4, 1, 
2021/8/14, 43, 17, 4, 2, , 
2021/8/15, 37, 16, 7, 4, , 
2021/8/16, 32, 28, 20, 6, 1, 
2021/8/17, 60, 26, 13, 2, 1, 
2021/8/18, 54, 26, 16, 5, 1, 
2021/8/19, 49, 30, 14, 8, 1, 
2021/8/20, 61, 27, 9, 5, , 
2021/8/21, 55, 25, 11, 2, , 
2021/8/22, 55, 21, 11, 2, , 
2021/8/23, 42, 22, 11, 2, , 
2021/8/24, 45, 25, 8, 5, , 
2021/8/25, 51, 18, 4, 4, 1, 
2021/8/26, 36, 22, 2, 7, 1, 
2021/8/27, 52, 19, 2, 4, , 
2021/8/28, 42, 14, 5, 3, , 
2021/8/29, 33, 24, 7, 6, , 
2021/8/30, 50, 27, 6, 7, 1, 
2021/8/31, 61, 29, 8, 7, 1, 
2021/9/1, 62, 25, 5, 6, 1, 
2021/9/2, 45, 20, 3, 4, 1, 
2021/9/3, 39, 22, 4, 4, 1, 
2021/9/4, 45, 23, 1, 2, 1, 
2021/9/5, 53, 32, 10, 4, 1, 
2021/9/6, 59, 29, 4, 11, 1, 
2021/9/7, 58, 21, 9, 12, 1, 
2021/9/8, 53, 29, 5, 7, , 
2021/9/9, 62, 19, 6, 7, 1, 
2021/9/10, 44, 23, 8, 10, , 
2021/9/11, 47, 22, 7, 8, 1, 
2021/9/12, 46, 23, 7, 1, , 
2021/9/13, 45, 25, 12, 2, , 
2021/9/14, 53, 23, 5, 4, , 
2021/9/15, 50, 19, 6, 4, 1, 
2021/9/16, 37, 22, 7, 4, , 
2021/9/17, 44, 31, 18, 6, , 
2021/9/18, 59, 25, 13, 5, , 
2021/9/19, 52, 27, 9, 4, , 
2021/9/20, 54, 16, 7, 2, 1, 
2021/9/21, 33, 9, 7, 4, 1, 
2021/9/22, 23, 10, 5, 3, , 
2021/9/23, 18, 12, 5, 4, 1, 
2021/9/24, 30, 11, 6, 2, , 
2021/9/25, 19, 9, 6, 3, , 
2021/9/26, 25, 18, 8, 6, 1, 
2021/9/27, 35, 34, 7, 9, 1, 
2021/9/28, 66, 50, 22, 13, 1, 
2021/9/29, 98, 38, 14, 10, 2, 
2021/9/30, 79, 28, 8, 4, 1, 
2021/4/1, 79, 22, 7, 5, , 
2021/4/2, 47, 28, 15, 6, 1, 
2021/4/3, 55, 30, 6, 7, , 
2021/4/4, 59, 47, 6, 16, , 
2021/4/5, 91, 46, 8, 15, 2, 
2021/4/6, 86, 47, 15, 16, 1, 
2021/4/7, 89, 46, 17, 10, 1, 
2021/4/8, 86, 38, 15, 10, 1, 
2021/4/9, 74, 49, 17, 11, 1, 
2021/4/10, 90, 42, 19, 11, , 
2021/4/11, 85, 44, 14, 11, 1, 
2021/4/12, 86, 34, 10, 6, 1, 
2021/4/13, 70, 28, 8, 4, 1, 
2021/4/14, 61, 35, 22, 5, 1, 
2021/4/15, 74, 28, 10, 5, 1, 
2021/4/16, 66, 27, 19, 6, 1, 
2021/4/17, 64, 28, 15, 4, 1, 
2021/4/18, 61, 25, 13, 4, 1, 
2021/4/19, 47, 27, 24, 10, 1, 
2021/4/20, 51, 30, 9, 10, 1, 
2021/4/21, 58, 39, 17, 9, 1, 
2021/4/22, 83, 42, 15, 7, , 
2021/4/23, 77, 43, 9, 8, , 
2021/4/24, 75, 40, 13, 6, , 
2021/4/25, 84, 39, 13, 11, , 
2021/4/26, 79, 32, 12, 11, 1, 
2021/4/27, 66, 41, 15, 13, 1, 
2021/4/28, 82, 30, 11, 9, , 
2021/4/29, 62, 33, 16, 10, , 
2021/4/30, 67, 32, 11, 10, , 
2021/5/1, 70, 38, 19, 9, , 
2021/5/2, 73, 35, 17, 15, , 
2021/5/3, 69, 42, 22, 9, 1, 
2021/5/4, 80, 44, 29, 10, 1, 
2021/5/5, 90, 35, 16, 12, , 
2021/5/6, 69, 28, 15, 9, , 
2021/5/7, 48, 42, 28, 9, 1, 
2021/5/8, 83, 34, 23, 8, , 
2021/5/9, 71, 31, 13, 4, , 
2021/5/10, 67, 30, 15, 6, , 
2021/5/11, 62, 26, 13, 4, , 
2021/5/12, 59, 27, 15, 5, , 
2021/5/13, 61, 23, 8, 5, , 
2021/5/14, 50, 25, 12, 5, , 
2021/5/15, 53, 21, 9, 4, , 
2021/5/16, 46, 24, 10, 5, 1, 
2021/5/17, 56, 21, 9, 4, , 
2021/5/18, 45, 27, 14, 6, 1, 
2021/5/19, 54, 26, 10, 9, , 
2021/5/20, 48, 20, 7, 7, , 
2021/5/21, 43, 23, 16, 5, , 
2021/5/22, 49, 22, 13, 4, , 
2021/5/23, 44, 25, 13, 4, , 
2021/5/24, 48, 26, 13, 6, , 
2021/5/25, 43, 25, 19, 7, 1, 
2021/5/26, 56, 30, 17, 6, 1, 
2021/5/27, 66, 23, 7, 6, , 
2021/5/28, 49, 20, 6, 5, 1, 
2021/5/29, 45, 17, 7, 4, 1, 
2021/5/30, 36, 23, 8, 5, , 
2021/5/31, 47, 24, 12, 5, , 
2021/6/1, 58, 28, 6, 4, 1, 
2021/6/2, 60, 23, 11, 4, 1, 
2021/6/3, 53, 27, 13, 4, 1, 
2021/6/4, 55, 26, 10, 4, 1, 
2021/6/5, 56, 23, 6, 5, 1, 
2021/6/6, 49, 21, 11, 4, , 
2021/6/7, 45, 21, 14, 6, 2, 
2021/6/8, 46, 16, 9, 5, , 
2021/6/9, 35, 14, 8, 5, 1, 
2021/6/10, 29, 25, 9, 6, 2, 
2021/6/11, 51, 36, 9, 8, 2, 
2021/6/12, 72, 33, 6, 6, 2, 
2021/6/13, 61, 27, 6, 6, 1, 
2021/6/14, 51, 32, 5, 7, , 
2021/6/15, 62, 26, 8, 5, , 
2021/6/16, 46, 22, 15, 6, 1, 
2021/6/17, 46, 25, 5, 6, 1, 
2021/6/18, 50, 25, 14, 3, , 
2021/6/19, 50, 27, 13, 5, , 
2021/6/20, 45, 44, 13, 4, 1, 
2021/6/21, 74, 54, 12, 8, , 
2021/6/22, 94, 41, 13, 5, 1, 
2021/6/23, 68, 25, 12, 3, , 
2021/6/24, 46, 35, 13, 4, , 
2021/6/25, 67, 28, 6, 4, 1, 
2021/6/26, 54, 19, 9, 1, , 
2021/6/27, 36, 25, 13, 6, 1, 
2021/6/28, 48, 32, 12, 7, 1, 
2021/6/29, 61, 25, 11, 5, , 
2021/6/30, 49, 24, 9, 4, , 
2021/1/4, 119, 57, 17, 25, 3, 
2021/1/5, 108, 55, 20, 22, 1, 
2021/1/6, 116, 50, 20, 18, 1, 
2021/1/7, 100, 44, 12, 9, , 
2021/1/8, 87, 40, 18, 10, 1, 
2021/1/9, 74, 49, 19, 15, 1, 
2021/1/10, 89, 51, 17, 14, 1, 
2021/1/11, 97, 56, 17, 18, 1, 
2021/1/12, 96, 73, 24, 22, 2, 
2021/1/13, 143, 85, 28, 35, 3, 
2021/1/14, 168, 91, 29, 28, 3, 
2021/1/15, 180, 81, 26, 20, 1, 
2021/1/16, 167, 62, 23, 11, 2, 
2021/1/17, 134, 53, 20, 12, 1, 
2021/1/18, 101, 67, 24, 25, 1, 
2021/1/19, 149, 79, 34, 26, 1, 
2021/1/20, 169, 82, 27, 32, 1, 
2021/1/21, 170, 93, 42, 36, 3, 
2021/1/22, 187, 83, 26, 22, 1, 
2021/1/23, 165, 49, 14, 13, 1, 
2021/1/24, 105, 47, 13, 11, 1, 
2021/1/25, 90, 51, 14, 12, 1, 
2021/1/26, 95, 55, 11, 15, 1, 
2021/1/27, 110, 56, 20, 15, 2, 
2021/1/28, 110, 61, 20, 16, 1, 
2021/1/29, 120, 61, 19, 16, 1, 
2021/1/30, 131, 67, 24, 16, 1, 
2021/1/31, 138, 78, 26, 27, 2, 
2021/2/1, 159, 76, 24, 28, 1, 
2021/2/2, 149, 70, 20, 22, 1, 
2021/2/3, 150, 68, 16, 23, 1, 
2021/2/4, 142, 70, 20, 26, 1, 
2021/2/5, 141, 66, 23, 22, 2, 
2021/2/6, 139, 74, 34, 21, 3, 
2021/2/7, 160, 59, 14, 8, 2, 
2021/2/8, 111, 68, 8, 13, 1, 
2021/2/9, 114, 56, 21, 15, 1, 
2021/2/10, 107, 51, 4, 19, 1, 
2021/2/11, 98, 65, 20, 25, 1, 
2021/2/12, 123, 59, 26, 12, 1, 
2021/2/13, 121, 46, 18, 10, 1, 
2021/2/14, 95, 53, 15, 11, 1, 
2021/2/15, 93, 46, 16, 10, 1, 
2021/2/16, 93, 51, 20, 15, 1, 
2021/2/17, 107, 62, 16, 14, 1, 
2021/2/18, 131, 57, 17, 15, 1, 
2021/2/19, 121, 61, 24, 17, 1, 
2021/2/20, 128, 71, 32, 23, 1, 
2021/2/21, 154, 66, 20, 13, , 
2021/2/22, 147, 60, 18, 13, 1, 
2021/2/23, 125, 63, 16, 11, 1, 
2021/2/24, 129, 64, 28, 20, 1, 
2021/2/25, 141, 65, 9, 16, 1, 
2021/2/26, 143, 61, 6, 11, 1, 
2021/2/27, 142, 65, 8, 7, 2, 
2021/2/28, 126, 46, 10, 10, 2, 
2021/3/1, 83, 32, 8, 8, 1, 
2021/3/2, 67, 27, 7, 6, 2, 
2021/3/3, 58, 37, 13, 10, 1, 
2021/3/4, 74, 35, 14, 6, , 
2021/3/5, 71, 39, 13, 5, 1, 
2021/3/6, 80, 39, 13, 3, 1, 
2021/3/7, 77, 42, 13, 9, 1, 
2021/3/8, 86, 46, 12, 12, 1, 
2021/3/9, 89, 52, 15, 16, 1, 
2021/3/10, 105, 61, 15, 16, 1, 
2021/3/11, 120, 56, 16, 14, 5, 
2021/3/12, 104, 48, 16, 11, 1, 
2021/3/13, 94, 45, 14, 7, , 
2021/3/14, 88, 43, 12, 8, , 
2021/3/15, 86, 51, 12, 7, , 
2021/3/16, 93, 54, 11, 7, , 
2021/3/17, 104, 59, 15, 10, , 
2021/3/18, 121, 54, 16, 7, , 
2021/3/19, 104, 55, 14, 5, 1, 
2021/3/20, 103, 42, 11, 4, , 
2021/3/21, 84, 60, 8, 13, , 
2021/3/22, 117, 60, 23, 17, , 
2021/3/23, 119, 68, 30, 17, , 
2021/3/24, 140, 63, 23, 9, 1, 
2021/3/25, 119, 39, 15, 5, , 
2021/3/26, 73, 34, 9, 4, , 
2021/3/27, 62, 35, 12, 4, 1, 
2021/3/28, 71, 34, 12, 4, 1, 
2021/3/29, 70, 39, 14, 6, 1, 
2021/3/30, 75, 44, 17, 7, , 
2021/3/31, 93, 36, 13, 7, , 
2020/10/1, 56, 21, 7, 12, , 
2020/10/2, 48, 25, 12, 14, , 
2020/10/3, 57, 18, 11, 12, , 
2020/10/4, 43, 23, 10, 9, , 
2020/10/5, 58, 26, 12, 12, , 
2020/10/6, 68, 28, 12, 9, , 
2020/10/7, 67, 20, 5, 10, , 
2020/10/8, 57, 20, 4, 18, , 
2020/10/9, 53, 26, 2, 16, , 
2020/10/10, 52, 27, 6, 16, , 
2020/10/11, 58, 42, 12, 20, , 
2020/10/12, 77, 31, 3, 16, , 
2020/10/13, 69, 32, 11, 16, , 
2020/10/14, 63, 55, 11, 12, 1, 
2020/10/15, 79, 26, 11, 13, , 
2020/10/16, 49, 20, 4, 15, , 
2020/10/17, 46, 19, 5, 7, , 
2020/10/18, 42, 34, 4, 7, , 
2020/10/19, 71, 41, 8, 7, , 
2020/10/20, 67, 31, 9, 12, , 
2020/10/21, 65, 28, 6, 9, 1, 
2020/10/22, 75, 38, 16, 8, , 
2020/10/23, 83, 59, 22, 12, 1, 
2020/10/24, 99, 64, 29, 25, 1, 
2020/10/25, 128, 59, 22, 25, 1, 
2020/10/26, 116, 42, 11, 21, 1, 
2020/10/27, 82, 46, 16, 20, , 
2020/10/28, 94, 33, 3, 15, , 
2020/10/29, 76, 25, 2, 12, , 
2020/10/30, 57, 29, 8, 14, , 
2020/10/31, 58, 32, 7, 12, , 
2020/11/1, 56, 42, 15, 12, , 
2020/11/2, 77, 38, 13, 9, , 
2020/11/3, 79, 42, 18, 13, , 
2020/11/4, 94, 39, 23, 14, 1, 
2020/11/5, 85, 49, 20, 18, 2, 
2020/11/6, 94, 34, 16, 10, , 
2020/11/7, 74, 49, 21, 11, , 
2020/11/8, 103, 49, 22, 14, , 
2020/11/9, 102, 53, 23, 18, 1, 
2020/11/10, 108, 52, 19, 15, 1, 
2020/11/11, 101, 42, 12, 15, , 
2020/11/12, 87, 53, 21, 15, , 
2020/11/13, 106, 62, 31, 16, 1, 
2020/11/14, 120, 65, 34, 16, 1, 
2020/11/15, 138, 37, 23, 13, 1, 
2020/11/16, 77, 47, 18, 20, 1, 
2020/11/17, 89, 50, 15, 23, 1, 
2020/11/18, 100, 57, 20, 21, 1, 
2020/11/19, 119, 53, 12, 21, , 
2020/11/20, 107, 43, 5, 17, , 
2020/11/21, 80, 35, 11, 19, , 
2020/11/22, 77, 49, 7, 21, 1, 
2020/11/23, 92, 36, 11, 15, , 
2020/11/24, 72, 39, 12, 14, , 
2020/11/25, 73, 37, 14, 15, , 
2020/11/26, 67, 30, 12, 15, , 
2020/11/27, 59, 40, 20, 10, , 
2020/11/28, 71, 35, 24, 11, , 
2020/11/29, 71, 27, 21, 9, , 
2020/11/30, 60, 37, 17, 12, 1, 
2020/12/1, 66, 33, 18, 10, 1, 
2020/12/2, 67, 32, 18, 9, 1, 
2020/12/3, 68, 39, 20, 10, 1, 
2020/12/4, 80, 42, 21, 11, , 
2020/12/5, 83, 51, 23, 16, 1, 
2020/12/6, 91, 56, 20, 20, 1, 
2020/12/7, 109, 54, 22, 17, 1, 
2020/12/8, 104, 53, 22, 16, 1, 
2020/12/9, 103, 64, 25, 22, 2, 
2020/12/10, 132, 71, 28, 15, 2, 
2020/12/11, 148, 65, 22, 17, 1, 
2020/12/12, 140, 70, 16, 23, 2, 
2020/12/13, 143, 71, 15, 25, 1, 
2020/12/14, 161, 76, 7, 24, 3, 
2020/12/15, 149, 51, 10, 15, 2, 
2020/12/16, 107, 44, 13, 16, 2, 
2020/12/17, 83, 50, 24, 25, 1, 
2020/12/18, 93, 43, 20, 17, 1, 
2020/12/19, 79, 42, 21, 15, 1, 
2020/12/20, 81, 47, 19, 25, 1, 
2020/12/21, 88, 60, 20, 26, 2, 
2020/12/22, 116, 64, 19, 28, 2, 
2020/12/23, 128, 63, 19, 31, 2, 
2020/12/24, 138, 57, 9, 25, 2, 
2020/12/25, 120, 55, 14, 28, 2, 
2020/12/26, 106, 51, 20, 18, 1, 
2020/12/27, 101, 42, 15, 17, 1, 
2020/12/28, 81, 55, 16, 24, 1, 
2020/12/29, 105, 51, 11, 18, 2, 
2020/12/30, 98, 38, 19, 5, 1, 
2020/12/31, 76, 42, 24, 8, 1, 
2021/1/1, 82, 46, 25, 11, 1, 
2021/1/2, 93, 58, 26, 14, 2, 
2021/1/3, 130, 56, 21, 17, 2, 
2020/7/1, 46, 21, 3, 5, , 
2020/7/2, 46, 22, 5, 6, , 
2020/7/3, 55, 29, 8, 5, , 
2020/7/4, 60, 23, 7, 3, , 
2020/7/5, 55, 23, 10, 3, , 
2020/7/6, 50, 23, 14, 3, , 
2020/7/7, 53, 19, 6, 5, 1, 
2020/7/8, 47, 23, 12, 5, 2, 
2020/7/9, 50, 22, 5, 6, 2, 
2020/7/10, 53, 26, 7, 7, 1, 
2020/7/11, 50, 24, 13, 7, 2, 
2020/7/12, 50, 27, 9, 9, 1, 
2020/7/13, 42, 24, 6, 8, 1, 
2020/7/14, 53, 27, 8, 8, 2, 
2020/7/15, 57, 25, 94, 7, 1, 
2020/7/16, 51, 26, 13, 6, 2, 
2020/7/17, 53, 26, 15, 7, 1, 
2020/7/18, 65, 18, 6, 4, 2, 
2020/7/19, 42, 29, 2, 10, 2, 
2020/7/20, 61, 28, 3, 16, 1, 
2020/7/21, 60, 26, 8, 12, 2, 
2020/7/22, 63, 21, 5, 7, 1, 
2020/7/23, 56, 25, 3, 11, 2, 
2020/7/24, 58, 26, 8, 10, 1, 
2020/7/25, 59, 22, 7, 5, 1, 
2020/7/26, 51, 15, 6, 4, 2, 
2020/7/27, 40, 18, 7, 5, 1, 
2020/7/28, 44, 23, 12, 7, 2, 
2020/7/29, 49, 20, 10, 5, 2, 
2020/7/30, 48, 18, 8, 5, 2, 
2020/7/31, 43, 17, 6, 4, 1, 
2020/8/1, 41, 14, 5, 4, 2, 
2020/8/2, 32, 17, 5, 4, 1, 
2020/8/3, 37, 19, 5, 4, , 
2020/8/4, 44, 21, 8, 5, , 
2020/8/5, 48, 27, 7, 7, 1, 
2020/8/6, 57, 28, 5, 8, , 
2020/8/7, 57, 25, 4, 6, , 
2020/8/8, 49, 19, 5, 6, , 
2020/8/9, 42, 18, 5, 5, , 
2020/8/10, 42, 25, 5, 6, , 
2020/8/11, 45, 17, 4, 4, , 
2020/8/12, 41, 21, 4, 6, , 
2020/8/13, 51, 25, 5, 8, , 
2020/8/14, 56, 31, 4, 7, , 
2020/8/15, 61, 28, 8, 5, , 
2020/8/16, 57, 32, 8, 7, , 
2020/8/17, 63, 40, 13, 6, 1, 
2020/8/18, 73, 32, 8, 7, , 
2020/8/19, 65, 38, 5, 7, , 
2020/8/20, 76, 29, 7, 6, , 
2020/8/21, 60, 23, 17, 5, , 
2020/8/22, 55, 23, 7, 6, , 
2020/8/23, 52, 27, 8, 6, , 
2020/8/24, 58, 28, 11, 8, , 
2020/8/25, 57, 26, 10, 5, , 
2020/8/26, 53, 26, 5, 4, , 
2020/8/27, 51, 28, 4, 5, , 
2020/8/28, 60, 27, 16, 8, , 
2020/8/29, 62, 31, 13, 8, , 
2020/8/30, 68, 23, 7, 5, , 
2020/8/31, 52, 24, 11, 9, , 
2020/9/1, 52, 36, 9, 10, , 
2020/9/2, 71, 29, 6, 8, , 
2020/9/3, 63, 26, 7, 7, , 
2020/9/4, 60, 24, 6, 6, , 
2020/9/5, 54, 17, 12, 2, , 
2020/9/6, 44, 16, 7, 3, , 
2020/9/7, 40, 22, 9, 4, , 
2020/9/8, 50, 29, 3, 5, , 
2020/9/9, 67, 26, 16, 7, , 
2020/9/10, 57, 19, 8, 6, , 
2020/9/11, 41, 20, 3, 7, , 
2020/9/12, 42, 18, 2, 6, , 
2020/9/13, 44, 17, 7, 6, 1, 
2020/9/14, 39, 24, 12, 10, , 
2020/9/15, 47, 26, 16, 11, , 
2020/9/16, 52, 28, 14, 10, , 
2020/9/17, 50, 24, 5, 9, , 
2020/9/18, 50, 16, 5, 4, , 
2020/9/19, 39, 16, 4, 3, , 
2020/9/20, 26, 31, 11, 4, , 
2020/9/21, 55, 39, 12, 9, , 
2020/9/22, 62, 42, 15, 13, , 
2020/9/23, 77, 21, 9, 3, , 
2020/9/24, 37, 32, 13, 4, , 
2020/9/25, 46, 33, 6, 6, , 
2020/9/26, 83, 20, 8, 7, , 
2020/9/27, 49, 27, 6, 7, , 
2020/9/28, 49, 18, 7, 8, , 
2020/9/29, 38, 25, 11, 11, 1, 
2020/9/30, 57, 26, 6, 9, 1, 
2020/4/1, 73, 31, 1, 2, 4, 
2020/4/2, 62, 27, 5, 3, , 
2020/4/3, 54, 27, 4, 2, , 
2020/4/4, 62, 28, 8, 2, , 
2020/4/5, 63, 28, 6, 2, , 
2020/4/6, 61, 39, 9, 4, 10, 
2020/4/7, 74, 37, 6, 6, , 
2020/4/8, 70, 30, 9, 4, , 
2020/4/9, 61, 29, 13, 4, , 
2020/4/10, 69, 30, 9, 5, , 
